# experiment P-137 (R-137)
# hypothesis: df/dxi of a multi-affine f is multi-affine in the other two variables, so its Newton polytope is a unit square; the mixed volume of the three squares is Vol([0,2]^3) - 3.2 + 0 = 8 - 6 = 2, verified by convex hull and independently by symbolic solution of gradf = 0. By Bernstein's theorem f has at most 2 critical points in (C*)^3. (C1) The mixed volume computation is committed as a check, and a census over the reference fields reports how many cells have 0, 1 or 2 real critical points inside the unit cell -- the bound is on neither. (C2) At least one cell on at least one field has a critical point on a coordinate hyperplane, which Bernstein's count excludes by construction, demonstrating the caveat rather than stating it. (C3) THE RELATIONSHIP TO SADDLE_COUNT IS STATED AS A NON-IDENTITY: the repo's quadratic solves for face-hyperbola intersections on the zero level set, not for gradf = 0, and the two 2s are shown to be different by exhibiting a cell where the root sets differ. SHARE: none -- this replaces an authority citation with a derivation.
# falsified by: C1 by any cell with three or more real critical points, which would refute the mixed-volume computation. C2 by no hyperplane cases, which would make the caveat vacuous here and is worth recording. C3 by the two root sets coinciding, which would be a much stronger result and would mean SADDLE_COUNT is derivable from BKK. VACUITY CONTROL: the census must include cells of all three counts, reported as a distribution, or the bound is being checked against a single stratum.
# commit 00291e5 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:28:13Z
field,resolution,mixed_volume,critical_points_complex,critical_points_real,critical_points_in_cell,cells_with_zero,cells_with_one,cells_with_two,on_hyperplane_count,saddle_count_relationship,c1_holds,c2_holds,c3_holds,bernstein_bound,c3_witness_cell,c3_witness_field,c3_witness_grad_roots,c3_witness_repo_roots,c3_witness_resolution,c3_witness_separation,cells_both_in_cell,cells_positive_dimensional,cells_root_sets_agree,cells_root_sets_differ,cells_stratum_degenerate,cells_with_three_or_more,census_ns,control_seed,control_trials,eliminant_degree_in_w,eliminant_q1_is_two_c110_times_k,eliminant_q2_is_c111_times_k,grad_disc_degree,grad_disc_is_minus_four_k_du_dv,grad_disc_minus_repo_disc_terms,grad_disc_terms,is_control,max_abs_f_at_repo_saddle,max_in_cell_gradient_residual,max_root_separation,max_scaled_gradient_residual,min_abs_f_at_grad_critical,minkowski_volume_all_three,minkowski_volume_pairs_sum,minkowski_volume_singletons_sum,mirror_mismatches,newton_polytope_extents,on_cell_face_count,repo_a_is_minus_du,repo_disc_degree,repo_disc_is_cayley,repo_disc_terms,repo_non_finite_cells,repo_roots,repo_roots_in_cell,root_set_tolerance,roots_at_infinity,surface_cells,total_cells
sphere,17,2,544,0,0,272,0,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,0,0,0,0,0,47101,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,0.000000000,0.000000e0,none,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,0,544,0,1e-12,0,272,4096
sphere,33,2,2320,0,0,1160,0,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,0,0,0,0,0,347662,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,0.000000000,0.000000e0,none,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,0,2320,0,1e-12,0,1160,32768
sphere,65,2,9520,0,0,4760,0,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,0,0,0,0,0,2022375,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,0.000000000,0.000000e0,none,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,0,9520,0,1e-12,0,4760,262144
torus,17,2,656,288,0,328,0,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,0,0,144,0,0,63580,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,1509.733918386,5.570067e-17,none,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,0,656,0,1e-12,0,328,4096
torus,33,2,2256,1136,0,1128,0,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,0,0,568,0,0,423933,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,25102.706969676,4.322456e-18,none,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,0,2256,0,1e-12,0,1128,32768
torus,65,2,8416,3696,0,4208,0,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,0,0,1848,0,0,3036432,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,989815.732717906,4.435029e-19,none,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,0,8416,0,1e-12,0,4208,262144
box_exact,17,2,0,0,0,216,0,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,80,0,0,264,0,34631,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,0.000000000,0.000000e0,none,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,0,0,0,1e-12,0,296,4096
box_exact,33,2,0,0,0,1176,0,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,176,0,0,1288,0,235561,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,0.000000000,0.000000e0,none,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,0,0,0,1e-12,0,1352,32768
box_exact,65,2,0,0,0,5400,0,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,368,0,0,5640,0,1786033,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,0.000000000,0.000000e0,none,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,0,0,0,1e-12,0,5768,262144
csg_difference,17,2,128,54,0,215,0,0,2,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,81,1,17,188,0,48771,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,1282.383871176,1.297222e-1,none,8,6,0,0,0x1x1|1x0x1|1x1x0,4,true,4,true,12,14,97,0,1e-12,9,296,4096
csg_difference,33,2,502,120,0,1205,0,0,4,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,183,1,32,1045,0,311332,0x0137013701370137,200000,2,true,true,6,true,348,336,false,2.570551e-2,0.000000e0,27.179287917,3.204750e-17,none,8,6,0,0,0x1x1|1x0x1|1x1x0,6,true,4,true,12,24,419,2,1e-12,21,1388,32768
csg_difference,65,2,2096,248,0,5622,0,0,9,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,392,5,60,4762,0,2378117,0x0137013701370137,200000,2,true,true,6,true,348,336,false,3.338929e-20,0.000000e0,31.762039507,6.084269e-4,none,8,6,0,0,0x1x1|1x0x1|1x1x0,18,true,4,true,12,47,1907,1,1e-12,45,6014,262144
thin_plate,17,2,24,0,0,48,0,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,80,0,0,48,0,31250,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,0.000000000,0.000000e0,none,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,8,8,0,1e-12,12,128,4096
thin_plate,33,2,56,0,0,224,0,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,288,0,0,224,0,217652,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,0.000000000,0.000000e0,none,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,8,8,0,1e-12,28,512,32768
thin_plate,65,2,123,2,0,963,0,0,1,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,1085,0,2,960,0,1684302,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,4.000000000,0.000000e0,none,8,6,0,0,0x1x1|1x0x1|1x1x0,1,true,4,true,12,8,8,0,1e-12,61,2048,262144
gyroid,17,2,2271,1449,19,1195,19,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,0,0,616,0,0,346003,0x0137013701370137,200000,2,true,true,6,true,348,336,false,8.326673e-16,2.220446e-16,57859770620958832.000000000,2.136413e-13,1.915778e-2,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,0,2054,28,1e-12,0,1214,4096
gyroid,33,2,9519,6165,25,5215,25,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,0,0,3066,0,0,1873963,0x0137013701370137,200000,2,true,true,6,true,348,336,false,1.387779e-16,6.421729e-16,26862025460083320.000000000,5.649295e-15,1.125649e-2,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,0,9486,47,1e-12,0,5240,32768
gyroid,65,2,36743,22779,60,21372,60,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,0,0,13410,0,0,11937617,0x0137013701370137,200000,2,true,true,6,true,348,336,false,1.348748e-16,1.179612e-16,25945517119443632.000000000,1.250616e-13,1.058998e-2,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,0,40784,66,1e-12,0,21432,262144
fbm_terrain,17,2,498,238,0,470,0,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,0,0,121,205,0,890146,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,23318992057882362561171420086272.000000000,7.120883e-38,none,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,179,716,0,1e-12,0,470,4096
fbm_terrain,33,2,1365,745,0,1958,0,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,0,0,378,1229,0,6381106,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,40055465777643982268368913694720.000000000,1.371866e-37,none,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,796,2641,0,1e-12,0,1958,32768
fbm_terrain,65,2,3350,1724,0,8413,0,0,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,0,0,0,870,6603,0,48372530,0x0137013701370137,200000,2,true,true,6,true,348,336,false,none,0.000000e0,25761284959925339485290425745408.000000000,1.312865e-36,none,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,3672,9966,0,1e-12,0,8413,262144
noise_cavity,17,2,2246,1102,130,997,122,4,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,11,0,0,326,0,0,337592,0x0137013701370137,200000,2,true,true,6,true,348,336,false,3.053113e-16,2.031708e-14,56831.717400432,5.867891e-14,1.294888e-3,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,0,1796,45,1e-12,0,1123,4096
noise_cavity,33,2,12352,6111,219,5957,219,0,3,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,19,0,0,1898,0,0,2241507,0x0137013701370137,200000,2,true,true,6,true,348,336,false,2.456368e-15,2.857957e-14,17550441732613122.000000000,1.801535e-13,1.879783e-4,8,6,0,0,0x1x1|1x0x1|1x1x0,3,true,4,true,12,1,10032,214,1e-12,1,6176,32768
noise_cavity,65,2,56750,27127,205,28170,205,0,3,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,13,0,0,8527,0,0,15482432,0x0137013701370137,200000,2,true,true,6,true,348,336,false,5.806987e-16,1.519618e-15,40372811770545832.000000000,1.009202e-13,4.434520e-4,8,6,0,0,0x1x1|1x0x1|1x1x0,7,true,4,true,12,11,46663,351,1e-12,9,28375,262144
random_corners,0,2,396846,252944,37851,161927,35141,1355,0,distinct-root-sets,true,true,true,2,8x6x1,gyroid,-1.498092:1.148434:-0.287369|0.561174:0.462230:0.281783,-3.247308:0.932460:-0.108235|-0.849964:1.731322:-0.770827,17,1.749216212,6037,0,0,80587,0,0,23038236,0x0137013701370137,200000,2,true,true,6,true,348,336,true,5.093148e-15,5.720313e-12,8997289.112850191,7.230872e-11,3.834595e-7,8,6,0,0,0x1x1|1x0x1|1x1x0,0,true,4,true,12,0,305076,38343,1e-12,0,198423,0
