# experiment P-141 (R-141)
# hypothesis: THE REPOSITORY REJECTED CAD ON THE WRONG AXIS. discovery-dossier.md:298 dismisses it as 'global, doubly exponential, needs arbitrary precision' -- all true, and all irrelevant, because deriving a case table is an offline computation run once in the project's lifetime, not a runtime cost. The A-002 series' recurring expense is transcription (M-207, M-219, M-221, x22, M-228, M-231), which is exactly what machine derivation removes. (C1) A real-quantifier-elimination engine -- nlsat via Z3, or QEPCAD -- terminates on the single-cell topology query over the 8 corner parameters within a stated wall-clock budget, or is reported as not terminating, which is itself the answer. (C2) The derived taxonomy is compared against the crate's committed table, and every disagreement is adjudicated by hand against the trilinear. (C3) Any disagreement is checked against Custodio et al.'s published corrections to Chernyaev, so a machine disagreement is either a known bug or a new one. SHARE: none at runtime; this changes how the table is produced, not what it costs.
# falsified by: C1 by non-termination within budget, which closes the row honestly and is a real possibility. C2 by zero disagreements, which would be a strong independent validation of validate_table() and worth the whole ticket. C3 by disagreements outside Custodio's set that survive adjudication, which would be a genuine new finding. VACUITY CONTROL: the pipeline must first re-derive a known-correct sub-case the table already contains, or a clean run proves nothing about the solver's fidelity.
# commit eb205ed on amd-ryzen-9-5900x-12-core at 2026-08-30T09:38:06Z
solver,configuration,wall_clock_s,terminated,cases_derived,cases_matching_table,cases_disagreeing,custodio_disagreement_overlap,machine_checkable_certificate,c1_holds,c2_holds,c3_holds,adjudicated_defects,agrees_with_table,arm,arm_queries,arm_solver_s,case_index,control_ambiguous_cases,control_ambiguous_pairs,control_decider_transcription_mismatches,control_forced_oracle_mismatches,control_numeric_disagreements,control_samples,control_table_mismatches,control_tangency_samples,control_unambiguous_refuted,control_varying_ambiguous,custodio_corrections_known,defects_outside_custodio,encoding,face,face_ambiguous,is_control,probe_truth,query_status,query_timeout_s,refutation_is_a_defect,rule,smt2_bytes,smt2_file,smt2_hash,solver_raw,table_claims,total_disagreeing,total_solver_s
z3-5.1.0,ambiguity_affine|case000|xlo,0.013861,true,1536,1536,0,0_of_0,992b_e81ffc571bcdc6fa,true,true,true,0,true,ambiguity_affine,1536,9.382,0,120,192,0,0,0,98304,0,6836,0,192,V-24|V-25|M-165|M-352,0,affine,xlo,false,true,false,unsat,2,true,truth_is_magnitude_free,992,ambiguity_affine__case000__xlo.smt2,e81ffc571bcdc6fa,Z3_version_5.1.0_-_64_bit,unsat,192,399.598
z3-5.1.0,ambiguity_affine|case000|xhi,0.006315,true,1536,1536,0,0_of_0,992b_fd86f5f137a4582c,true,true,true,0,true,ambiguity_affine,1536,9.382,0,120,192,0,0,0,98304,0,6836,0,192,V-24|V-25|M-165|M-352,0,affine,xhi,false,true,false,unsat,2,true,truth_is_magnitude_free,992,ambiguity_affine__case000__xhi.smt2,fd86f5f137a4582c,Z3_version_5.1.0_-_64_bit,unsat,192,399.598
z3-5.1.0,ambiguity_affine|case000|ylo,0.006024,true,1536,1536,0,0_of_0,992b_00f7e371263719fd,true,true,true,0,true,ambiguity_affine,1536,9.382,0,120,192,0,0,0,98304,0,6836,0,192,V-24|V-25|M-165|M-352,0,affine,ylo,false,true,false,unsat,2,true,truth_is_magnitude_free,992,ambiguity_affine__case000__ylo.smt2,00f7e371263719fd,Z3_version_5.1.0_-_64_bit,unsat,192,399.598
z3-5.1.0,ambiguity_affine|case000|yhi,0.006134,true,1536,1536,0,0_of_0,992b_2444e5e269a9b3e6,true,true,true,0,true,ambiguity_affine,1536,9.382,0,120,192,0,0,0,98304,0,6836,0,192,V-24|V-25|M-165|M-352,0,affine,yhi,false,true,false,unsat,2,true,truth_is_magnitude_free,992,ambiguity_affine__case000__yhi.smt2,2444e5e269a9b3e6,Z3_version_5.1.0_-_64_bit,unsat,192,399.598
z3-5.1.0,ambiguity_affine|case000|zlo,0.006472,true,1536,1536,0,0_of_0,993b_d85cf6d21d5572ac,true,true,true,0,true,ambiguity_affine,1536,9.382,0,120,192,0,0,0,98304,0,6836,0,192,V-24|V-25|M-165|M-352,0,affine,zlo,false,true,false,unsat,2,true,truth_is_magnitude_free,993,ambiguity_affine__case000__zlo.smt2,d85cf6d21d5572ac,Z3_version_5.1.0_-_64_bit,unsat,192,399.598
z3-5.1.0,ambiguity_affine|case000|zhi,0.006239,true,1536,1536,0,0_of_0,993b_47e05967d5654877,true,true,true,0,true,ambiguity_affine,1536,9.382,0,120,192,0,0,0,98304,0,6836,0,192,V-24|V-25|M-165|M-352,0,affine,zhi,false,true,false,unsat,2,true,truth_is_magnitude_free,993,ambiguity_affine__case000__zhi.smt2,47e05967d5654877,Z3_version_5.1.0_-_64_bit,unsat,192,399.598
z3-5.1.0,ambiguity_affine|case001|xlo,0.006493,true,1536,1536,0,0_of_0,991b_aa719ef9a5060df4,true,true,true,0,true,ambiguity_affine,1536,9.382,1,120,192,0,0,0,98304,0,6836,0,192,V-24|V-25|M-165|M-352,0,affine,xlo,false,true,false,unsat,2,true,truth_is_magnitude_free,991,ambiguity_affine__case001__xlo.smt2,aa719ef9a5060df4,Z3_version_5.1.0_-_64_bit,unsat,192,399.598
z3-5.1.0,ambiguity_affine|case001|xhi,0.006986,true,1536,1536,0,0_of_0,991b_437c6d41e0d50ce2,true,true,true,0,true,ambiguity_affine,1536,9.382,1,120,192,0,0,0,98304,0,6836,0,192,V-24|V-25|M-165|M-352,0,affine,xhi,false,true,false,unsat,2,true,truth_is_magnitude_free,991,ambiguity_affine__case001__xhi.smt2,437c6d41e0d50ce2,Z3_version_5.1.0_-_64_bit,unsat,192,399.598
z3-5.1.0,ambiguity_affine|case001|ylo,0.006256,true,1536,1536,0,0_of_0,991b_b3724efe959c00e1,true,true,true,0,true,ambiguity_affine,1536,9.382,1,120,192,0,0,0,98304,0,6836,0,192,V-24|V-25|M-165|M-352,0,affine,ylo,false,true,false,unsat,2,true,truth_is_magnitude_free,991,ambiguity_affine__case001__ylo.smt2,b3724efe959c00e1,Z3_version_5.1.0_-_64_bit,unsat,192,399.598
z3-5.1.0,ambiguity_affine|case001|yhi,0.006051,true,1536,1536,0,0_of_0,991b_dfcb05d1923c50e4,true,true,true,0,true,ambiguity_affine,1536,9.382,1,120,192,0,0,0,98304,0,6836,0,192,V-24|V-25|M-165|M-352,0,affine,yhi,false,true,false,unsat,2,true,truth_is_magnitude_free,991,ambiguity_affine__case001__yhi.smt2,dfcb05d1923c50e4,Z3_version_5.1.0_-_64_bit,unsat,192,399.598
z3-5.1.0,ambiguity_affine|case001|zlo,0.006681,true,1536,1536,0,0_of_0,992b_d513ace75bee6b24,true,true,true,0,true,ambiguity_affine,1536,9.382,1,120,192,0,0,0,98304,0,6836,0,192,V-24|V-25|M-165|M-352,0,affine,zlo,false,true,false,unsat,2,true,truth_is_magnitude_free,992,ambiguity_affine__case001__zlo.smt2,d513ace75bee6b24,Z3_version_5.1.0_-_64_bit,unsat,192,399.598
z3-5.1.0,ambiguity_affine|case001|zhi,0.006388,true,1536,1536,0,0_of_0,992b_e046d1f52fca26c1,true,true,true,0,true,ambiguity_affine,1536,9.382,1,120,192,0,0,0,98304,0,6836,0,192,V-24|V-25|M-165|M-352,0,affine,zhi,false,true,false,unsat,2,true,truth_is_magnitude_free,992,ambiguity_affine__case001__zhi.smt2,e046d1f52fca26c1,Z3_version_5.1.0_-_64_bit,unsat,192,399.598
