# experiment P-55 (R-050)
# hypothesis: validate checks manifoldness, orientation, Euler characteristic, self-intersection, isotopy and Hausdorff accuracy. NOTHING checks that the mesh's critical-point structure matches the field's, and on gyroid and fbm_terrain the crate cannot even assert chi, so those two fields have no topological gate beyond manifoldness. Finken, Li, Wang, Guo & Levine (arXiv:2608.12142) prove Theorem 1: a PL function monotonic with respect to a Morse f has no spurious critical points. Their theorem is 2D and its pigeonhole step -- 'since a triangle has only three edges' -- has no hexahedral analogue, so what is tested here is a 3D PORT and is labelled as such. Sampling k = max(2, ceil(||e||/w) + 1) points along each mesh edge and calling it non-monotone when two directional derivatives disagree in sign: (C1) marching_cubes on sphere, torus and box_exact at 65^3 has ZERO non-monotone edges. (C2) gyroid and fbm_terrain have a NON-ZERO count that FALLS monotonically across 17^3/33^3/65^3/129^3, making it a resolution witness rather than a defect. (C3) noise_cavity has the highest per-1k count of the eight fields, because it is the field with interior ambiguity (M-208).
# falsified by: C1 non-zero, which would mean the gate is measuring the sampling of the edge rather than the mesh and k is the problem; or C2 flat or rising in resolution, which would make it a property of the field rather than of the grid and useless as a witness. TWO THINGS THIS CRATE OWNS, NOT THE PAPER: the paper gives a bare sign-disagreement predicate with NO epsilon, NO relative tolerance and NO flat-region guard, so the rule used here -- discard steps under 1e-12 * (|f(a)| + |f(b)|), fixed in this registration before the harness exists, and recorded at 1e-14 and 1e-10 beside it so the answer's sensitivity is visible -- is isomesh's invention and must not be attributed to Finken et al.; and the paper obtains gradients by autodiff on a neural field while this uses the crate's central difference, which changes the noise story in a way the paper never analyses. The theorem is also inapplicable to the trilinear interpolant, under which interior critical points genuinely exist -- that is the origin of the ambiguous-face problem -- so a HELD C1 is evidence about this crate's meshes, never a proof transported to 3D.
# commit db0ca10 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T21:30:51Z
field,extractor,samples_per_axis,edges,non_monotone_edges,non_monotone_per_1k,k_samples,tolerance,non_monotone_at_1e14,non_monotone_at_1e10,worst_reversal,falls_with_resolution,all_flags_from_endpoints,cell_size_w,counts_equal_across_tolerances,degenerate_edges,edge_instances,edges_with_discarded_g_at_1e10,extract_ns,flagged_by_endpoints_at_1e12,flagged_only_by_interior_at_1e12,g_discarded_at_1e10,g_discarded_at_1e12,g_discarded_at_1e14,gradient_evals,guard_inert,highest_per_1k_field,is_highest_per_1k,k_samples_mean,k_samples_min,max_abs_tolerance,max_endpoint_abs_f,mean_abs_tolerance,mean_endpoint_abs_f,min_abs_g,non_monotone_instances,nonfinite_g_samples,nonzero_g_discarded_at_1e10,nonzero_g_discarded_at_1e12,nonzero_g_discarded_at_1e14,per_1k_at_1e10,per_1k_at_1e12,per_1k_at_1e14,per_1k_falls_with_resolution,predicate_ns,predicate_ns_per_edge,tolerance_rule,triangles,worst_reversal_over_w,worst_reversal_ratio,zero_g_samples
sphere,marching_cubes,17,804,804,1000.000000,3,1e-12,804,804,7.092241e-2,false,true,0.250000000,true,0,1608,50,106211,804,0,50,50,50,2136,true,sphere,true,2.6567,2,1.170756e-14,1.170756e-2,6.232329e-15,6.232329e-3,1.806661e-5,1608,0,0,0,0,1000.000000,1000.000000,1000.000000,false,49321,61.34,coef*(|f(a)|+|f(b)|),536,0.283690,0.956300,50
sphere,marching_cubes,33,3468,3156,910.034602,3,1e-12,3156,3156,1.996888e-2,false,true,0.125000000,true,0,6936,152,572175,3156,0,152,152,152,9276,false,sphere,true,2.6747,2,3.402258e-15,3.402258e-3,1.421437e-15,1.421437e-3,1.387779e-17,6312,0,16,16,16,910.034602,910.034602,910.034602,false,208501,60.12,coef*(|f(a)|+|f(b)|),2312,0.159751,0.975291,136
sphere,marching_cubes,65,14268,13092,917.577796,3,1e-12,13092,13092,5.420377e-3,false,true,0.062500000,true,0,28536,192,3729430,13092,0,192,192,192,37920,true,sphere,true,2.6577,2,8.562654e-16,8.562654e-4,3.438952e-16,3.438952e-4,2.457249e-7,26184,0,0,0,0,917.577796,917.577796,917.577796,false,832567,58.35,coef*(|f(a)|+|f(b)|),9512,0.086726,0.990334,192
sphere,marching_cubes,129,57684,51732,896.817142,3,1e-12,51732,51732,1.407660e-3,false,true,0.031250000,true,0,115368,444,22409243,51732,0,444,444,430,154068,false,sphere,true,2.6709,2,2.200753e-16,2.200753e-4,7.962044e-17,7.962044e-5,1.734723e-18,103464,0,14,14,0,896.817142,896.817142,896.817142,false,3335817,57.83,coef*(|f(a)|+|f(b)|),38456,0.045045,0.995371,430
torus,marching_cubes,17,984,832,845.528455,3,1e-12,832,832,1.529304e-1,false,true,0.250000000,true,0,1968,8,76791,832,0,8,8,8,2512,true,sphere,false,2.5528,2,4.476647e-14,4.476647e-2,1.733624e-14,1.733624e-2,7.174610e-5,1664,0,0,0,0,845.528455,845.528455,845.528455,false,78061,79.33,coef*(|f(a)|+|f(b)|),656,0.611722,0.816433,8
torus,marching_cubes,33,3384,2978,880.023641,3,1e-12,2978,2978,5.435556e-2,false,false,0.125000000,true,0,6768,28,437763,2962,16,28,28,28,9080,false,sphere,false,2.6832,2,8.200840e-15,8.200840e-3,2.501608e-15,2.501608e-3,4.163336e-17,5956,0,16,16,16,880.023641,880.023641,880.023641,false,243582,71.98,coef*(|f(a)|+|f(b)|),2256,0.434844,0.992015,12
torus,marching_cubes,65,12624,11282,893.694550,3,1e-12,11282,11282,1.528562e-2,false,false,0.062500000,true,0,25248,52,3355357,11266,16,52,52,44,34328,false,sphere,false,2.7193,2,2.333674e-15,2.333674e-3,6.222390e-16,6.222390e-4,6.938894e-18,22564,0,16,16,8,893.694550,893.694550,893.694550,false,901207,71.39,coef*(|f(a)|+|f(b)|),8416,0.244570,0.998283,36
torus,marching_cubes,129,52296,45760,875.019122,3,1e-12,45760,45760,4.216353e-3,false,false,0.031250000,true,0,104592,56,28677805,45712,48,56,56,56,140796,true,sphere,false,2.6923,2,6.936604e-16,6.936604e-4,1.582836e-16,1.582836e-4,1.224140e-9,91520,0,0,0,0,875.019122,875.019122,875.019122,false,3716100,71.06,coef*(|f(a)|+|f(b)|),34864,0.134923,0.969611,56
box_exact,marching_cubes,17,876,156,178.082192,3,1e-12,156,156,2.500000e-1,false,true,0.250000000,true,0,1752,0,57190,156,0,0,0,0,2124,true,sphere,false,2.4247,2,0.000000e0,0.000000e0,0.000000e0,0.000000e0,2.500000e-1,312,0,0,0,0,178.082192,178.082192,178.082192,true,51861,59.20,coef*(|f(a)|+|f(b)|),584,1.000000,1.000000,1656
box_exact,marching_cubes,33,4044,348,86.053412,3,1e-12,348,348,1.250000e-1,false,true,0.125000000,true,0,8088,0,502644,348,0,0,0,0,9612,true,sphere,false,2.3769,2,0.000000e0,0.000000e0,0.000000e0,0.000000e0,1.250000e-1,696,0,0,0,0,86.053412,86.053412,86.053412,true,233462,57.73,coef*(|f(a)|+|f(b)|),2696,1.000000,1.000000,8568
box_exact,marching_cubes,65,17292,732,42.331714,3,1e-12,732,732,6.250000e-2,false,true,0.062500000,true,0,34584,0,3978933,732,0,0,0,0,40716,true,sphere,false,2.3546,2,0.000000e0,0.000000e0,0.000000e0,0.000000e0,6.250000e-2,1464,0,0,0,0,42.331714,42.331714,42.331714,true,964448,55.77,coef*(|f(a)|+|f(b)|),11528,1.000000,1.000000,38520
box_exact,marching_cubes,129,71436,1500,20.997816,3,1e-12,1500,1500,3.125000e-2,false,true,0.031250000,true,0,142872,0,25020844,1500,0,0,0,0,167436,true,sphere,false,2.3439,2,0.000000e0,0.000000e0,0.000000e0,0.000000e0,3.125000e-2,3000,0,0,0,0,20.997816,20.997816,20.997816,true,3961642,55.46,coef*(|f(a)|+|f(b)|),47624,1.000000,1.000000,162936
csg_difference,marching_cubes,17,876,291,332.191781,3,1e-12,291,291,2.500000e-1,false,true,0.250000000,true,0,1752,8,74191,291,0,8,8,8,2178,true,sphere,false,2.4863,2,1.764925e-14,1.764925e-2,1.026144e-15,1.026144e-3,1.067855e-4,582,0,0,0,0,332.191781,332.191781,332.191781,true,73441,83.84,coef*(|f(a)|+|f(b)|),584,1.000000,1.000000,1349
